last_bot_message,last_user_message,message,keyboard,resize_keyboard,inline_keyboard,photo,key_value,intent
✏,/start_time,Ok. What are you working on? ✏,,,,,start-count_timestamp,/start_time
Ok. What are you working on? ✏,✏,Let me know when you finish.,/stop_time,,,,,end_conversation
