last_bot_message,last_user_message,message,keyboard,resize_keyboard,inline_keyboard,photo,key_value,intent
✏,/daily_output,"""This is what you planned: \n \n {}. \n \n What did you work on?"".format( dbvalue_daily_plan_text )",,,,,daily_realised_text,/daily_output
"""This is what you planned: \n \n {}. \n \n What did you work on?"".format( dbvalue_daily_plan_text )",✏,Which behaviour are you satisfied with?,,,,,daily_feedback_pos_text,/daily_output
Which behaviour are you satisfied with?,✏,Which situation could you have handled differently?,,,,,daily_feedback_neg_text,/daily_output
Which situation could you have handled differently?,✏,Which 3 things are you grateful for today?,,,,,daily_grateful_text,/daily_output
Which 3 things are you grateful for today?,✏,Thanks.,,,,,,end_conversation
