last_bot_message,last_user_message,message,keyboard,resize_keyboard,inline_keyboard,photo,key_value,intent
✏,/weekly_input,"""This is what you worked on last week: \n \n {} \n \n What do you think about it?"".format( dbvalue_weekly_plan_text )",,,,,weekly_realised_text,/weekly_input
"""This is what you worked on last week: \n \n {} \n \n What do you think about it?"".format( dbvalue_weekly_plan_text )",✏,What matters most right now? ✏,,,,,weekly_matter_text,/weekly_input
What matters most right now? ✏,✏,What will you work on this week?,,,,,weekly_plan_text,/weekly_input
What will you work on this week?,✏,And what will you work on today?,,,,,daily_plan_text,/weekly_input
And what will you work on today?,✏,Thanks,,,,,,end_conversation
